district,block,clf_id,clf_name,partner_organization,project_title
Araria,Araria,,AANGAN CLF 10-06-2022,Syngenta Foundation (SFI),
Araria,Araria,,Deep CLF,Syngenta Foundation (SFI),
Araria,Araria,,HARIYALI CLF 8/6/2022,Syngenta Foundation (SFI),
Araria,Araria,,KHUSHYALI CLF,Syngenta Foundation (SFI),
Araria,Araria,,KHUSHYALI CLF,PRADAN,
Araria,Araria,,PRAGATI CLF,,
Araria,Araria,,SANGHARSH CLF 19-01-2023,Syngenta Foundation (SFI),
Araria,Araria,,SANKALP CLF 17/6/2022,Syngenta Foundation (SFI),
Araria,Bhargama,,AMRIT JEEVIKA MEHILA CLF,Syngenta Foundation (SFI),
Araria,Bhargama,,GANDHI JEEVIKA MAHILA CLF,Syngenta Foundation (SFI),
Araria,Bhargama,,KRANTI CLF 26/02/2019,Syngenta Foundation (SFI),
Araria,Bhargama,,KRANTI CLF 26/02/2019,PRADAN,
Araria,Bhargama,,Laxmi bai jeevika mahila CLF,Syngenta Foundation (SFI),
Araria,Bhargama,,SURAJ JEEVIKA MAHILA CLF,Syngenta Foundation (SFI),
Araria,Forbesganj,,Anpurna CLF,Syngenta Foundation (SFI),
Araria,Forbesganj,,Naya Savera Jeevika Mahila Sankul Stariya Sangh,Syngenta Foundation (SFI),
Araria,Forbesganj,,Padma Renu Jeevika Mahila Sankul Stariya Sangh,Syngenta Foundation (SFI),
Araria,Forbesganj,,Prerna Jeevika Mahila Sankul Stariya Sangh,Syngenta Foundation (SFI),
Araria,Forbesganj,,Samarpan Jeevika Mahila Sankul Stariya Sangh,,
Araria,Forbesganj,,Sanskar Jeevika Sankul Stariya Sangh,Syngenta Foundation (SFI),
Araria,Forbesganj,,Tulsi CLF,Syngenta Foundation (SFI),
Araria,Forbesganj,,Tulsi CLF,PRADAN,
Araria,Jokihat,,BHARAT 06/03/19,Syngenta Foundation (SFI),
Araria,Jokihat,,JAI HIND 18/05/22,Syngenta Foundation (SFI),
Araria,Jokihat,,PRATIGYA 15/03/22,Syngenta Foundation (SFI),
Araria,Jokihat,,SAHARA 16/03/22,Syngenta Foundation (SFI),
Araria,Jokihat,,TIRANGA 15/03/22,Syngenta Foundation (SFI),
Araria,Jokihat,,VISHWAS 01/02/2022,Syngenta Foundation (SFI),
Araria,Kursakatta,,JEEVAN DHARA CLF 04-05-2022,Syngenta Foundation (SFI),
Araria,Kursakatta,,JEEVAN JYOTI JEEVIKA MAHILA SANKUL SANGH,Syngenta Foundation (SFI),
Araria,Kursakatta,,JEEVAN JYOTI JEEVIKA MAHILA SANKUL SANGH,PRADAN,
Araria,Kursakatta,,JEEVAN SHAKTI CLF 04-05-2022,Syngenta Foundation (SFI),
Araria,Kursakatta,,JEEVAN VIKAS CLF 06-05-2022,Syngenta Foundation (SFI),
Araria,Narpatganj,,Adishakti Clf,Syngenta Foundation (SFI),
Araria,Narpatganj,,Jagrati,,
Araria,Narpatganj,,Mahashakti Clf,Syngenta Foundation (SFI),
Araria,Narpatganj,,Nari Gaurav Jeevika Mahila CLF,,
Araria,Narpatganj,,Nari Shakti CLF,Syngenta Foundation (SFI),
Araria,Narpatganj,,Nari Shakti CLF,PRADAN,
Araria,Narpatganj,,Mahila Shakti CLF 23/12/2021,Syngenta Foundation (SFI),
Araria,Narpatganj,,Simanchalshakti Clf,,
Araria,Palasi,,ADARSH JEEVIKA MAHILA SANKUL SANGH,Syngenta Foundation (SFI),
Araria,Palasi,,NARI EKATA JEEVIKA MAHILA SANKUL SANGH,Syngenta Foundation (SFI),
Araria,Palasi,,NARI SAMMAN JEEVIKA MAHILA SANKUL SANGH,Syngenta Foundation (SFI),
Araria,Palasi,,NARIVISHWAS CLF 25/07/2022,Syngenta Foundation (SFI),
Araria,Palasi,,UPKAR CLF 25/7/2022,Syngenta Foundation (SFI),
Araria,Raniganj,,ANCHAL JEEVIKA MAHILA SANKUL SANGH,Syngenta Foundation (SFI),
Araria,Raniganj,,KIRAN JEEVIKA MAHILA SANKUL SANGH 26/12/2019,Syngenta Foundation (SFI),
Araria,Raniganj,,KIRAN JEEVIKA MAHILA SANKUL SANGH 26/12/2019,PRADAN,
Araria,Raniganj,,LAKSHYA JEEVIKA MAHILLA SANKUL SANGH,,
Araria,Raniganj,,SAFALATA 26-01-2022 (CLF),Syngenta Foundation (SFI),
Araria,Raniganj,,SAMMAN JEEWIKA MAHILA CLF,,
Araria,Raniganj,,SANGAM JEEVIKA MAHILA SANKUL SANGH,,
Araria,Raniganj,,UJJAVAL 26/2/2021,Syngenta Foundation (SFI),
Araria,Raniganj,,VIKASH JEEVIKA MAHILA SANKUL SANGH 29-01-2022 CLF,Syngenta Foundation (SFI),
Araria,Sikti,,GAGAN JEEVIKA MAHILA SANKUL SANGH 11/02/2022,Syngenta Foundation (SFI),
Araria,Sikti,,NAV JYOTI JEEVIKA MAHILA SANKUL SANGH 21/03/2021,Syngenta Foundation (SFI),
Araria,Sikti,,Sangram Jeevika Mahila CLF,Syngenta Foundation (SFI),
Araria,Sikti,,UTSAH JEEVIKA MAHILA SANKUL SANGH 11/02/2022,Syngenta Foundation (SFI),
Arwal,Arwal,,GARIMA JEEVIKA MAHILA SANKUL SANGH,Syngenta Foundation (SFI),
Arwal,Arwal,,Jyoti25072007,,
Arwal,Arwal,,SITA 24012024-CLF,,
Arwal,Kaler,,Nari shakti 11/12/2017,Syngenta Foundation (SFI),
Arwal,Kaler,,UJALA 31/12/2019,Syngenta Foundation (SFI),
Arwal,Kaler,,Vikash04102018,Syngenta Foundation (SFI),
Arwal,Karpi,,Aanchal 17/11/2017,Syngenta Foundation (SFI),
Arwal,Karpi,,Arpan,Syngenta Foundation (SFI),
Arwal,Karpi,,Bharat,,
Arwal,Karpi,,Gyan 26092018,Syngenta Foundation (SFI),
Arwal,Kurtha,,EKTA MAHILA SANKUL SANGH 11102018,Syngenta Foundation (SFI),
Arwal,Kurtha,,Jagritee Mahila sangh 24/01/2017,Syngenta Foundation (SFI),
Arwal,Kurtha,,Sawera mahila sankul sangh 21/12/2017,Syngenta Foundation (SFI),
Arwal,Sonbhadra Banshi,,Milan 24092018,Syngenta Foundation (SFI),
Arwal,Sonbhadra Banshi,,Sangam 28/11/2017,Syngenta Foundation (SFI),
Aurangabad,Aurangabad,,Hariyali,Syngenta Foundation (SFI),
Aurangabad,Aurangabad,,Jagriti,Syngenta Foundation (SFI),
Aurangabad,Aurangabad,,Sagar29112019,Syngenta Foundation (SFI),
Aurangabad,Barun,,Anchal,Syngenta Foundation (SFI),
Aurangabad,Barun,,Champa 16/06/2020,,
Aurangabad,Barun,,Jagriti,Syngenta Foundation (SFI),
Aurangabad,Barun,,Songanga,Syngenta Foundation (SFI),
Aurangabad,Daudnagar,,Mashal,Syngenta Foundation (SFI),
Aurangabad,Daudnagar,,Nari shakti,Syngenta Foundation (SFI),
Aurangabad,Daudnagar,,VISHAL CLF,Syngenta Foundation (SFI),
Aurangabad,Deo,,Bharti,Syngenta Foundation (SFI),
Aurangabad,Deo,,Bhaskar,Syngenta Foundation (SFI),
Aurangabad,Deo,,Suryanarayan,Syngenta Foundation (SFI),
Aurangabad,Deo,,Suryanchal,Syngenta Foundation (SFI),
Aurangabad,Goh,,Aazad CLF,Syngenta Foundation (SFI),
Aurangabad,Goh,,Magadh,Syngenta Foundation (SFI),
Aurangabad,Goh,,Nari Garima,Syngenta Foundation (SFI),
Aurangabad,Goh,,Pahal Jeevika Maheela Shankulstariya Shangh Dihuri,Syngenta Foundation (SFI),
Aurangabad,Haspura,,Bharat,Syngenta Foundation (SFI),
Aurangabad,Haspura,,Milan,Syngenta Foundation (SFI),
Aurangabad,Haspura,,Tiranga,Syngenta Foundation (SFI),
Aurangabad,Kutumba,,Ambe,Syngenta Foundation (SFI),
Aurangabad,Kutumba,,Kalpvriksh,Syngenta Foundation (SFI),
Aurangabad,Kutumba,,Nari Ekta,Syngenta Foundation (SFI),
Aurangabad,Madanpur,,Himalya CLF,Syngenta Foundation (SFI),
Aurangabad,Madanpur,,Prakash CLF Madanpur,Syngenta Foundation (SFI),
Aurangabad,Madanpur,,Ujwal,Syngenta Foundation (SFI),
Aurangabad,Nabinagar,,Adhikar CLF,Syngenta Foundation (SFI),
Aurangabad,Nabinagar,,Bharat CLF,Syngenta Foundation (SFI),
Aurangabad,Nabinagar,,Girinandani,Syngenta Foundation (SFI),
Aurangabad,Nabinagar,,Himalay,Syngenta Foundation (SFI),
Aurangabad,Nabinagar,,Skandmata CLF,Syngenta Foundation (SFI),
Aurangabad,Obra,,Pragati,Syngenta Foundation (SFI),
Aurangabad,Obra,,Sangam Swayam Siddha mahila vikas S.S.S.LTD.,Syngenta Foundation (SFI),
Aurangabad,Obra,,Tiranga,Syngenta Foundation (SFI),
Aurangabad,Rafiganj,,Dhawa CLF,Syngenta Foundation (SFI),
Aurangabad,Rafiganj,,Ekta CLF,Syngenta Foundation (SFI),
Aurangabad,Rafiganj,,Prakriti CLF,Syngenta Foundation (SFI),
Aurangabad,Rafiganj,,Sanskar CLF,Syngenta Foundation (SFI),
Banka,Amarpur,,Nav Jagrati,Syngenta Foundation (SFI),
Banka,Amarpur,,Nav Jagrati,PRADAN,
Banka,Amarpur,,Nav Nirman,,
Banka,Amarpur,,Nayee Disha,Syngenta Foundation (SFI),
Banka,Amarpur,,Nayee Disha,PRADAN,
Banka,Amarpur,,Utsah,Syngenta Foundation (SFI),
Banka,Banka,,Abhilasha,Syngenta Foundation (SFI),
Banka,Banka,,Mandar Jeevika,Syngenta Foundation (SFI),
Banka,Banka,,Mandar Jeevika,PRADAN,
Banka,Banka,,Nav Jyoti,Syngenta Foundation (SFI),
Banka,Barahat,,Barte Kadam,Syngenta Foundation (SFI),
Banka,Barahat,,Barte Kadam,PRADAN,
Banka,Barahat,,Guru- Maharaj - Auriya,,
Banka,Barahat,,Nari Utthan,Syngenta Foundation (SFI),
Banka,Barahat,,Swabhiman,Syngenta Foundation (SFI),
Banka,Bausi,,Arpan 18/11/2016,Syngenta Foundation (SFI),
Banka,Bausi,,Dipjyoti,Syngenta Foundation (SFI),
Banka,Bausi,,Ujala 16032016,Syngenta Foundation (SFI),
Banka,Bausi,,Ujala 16032016,PRADAN,
Banka,Belhar,,Adarsh,Syngenta Foundation (SFI),
Banka,Belhar,,Nari Vikash,Syngenta Foundation (SFI),
Banka,Belhar,,Vikash,Syngenta Foundation (SFI),
Banka,Belhar,,Vikash,PRADAN,
Banka,Chanan,,Gangotri,Syngenta Foundation (SFI),
Banka,Chanan,,Sangam,PRADAN,
Banka,Chanan,,Mahila Shakti,Syngenta Foundation (SFI),
Banka,Dhuraiya,,Adhikar,Syngenta Foundation (SFI),
Banka,Dhuraiya,,Adhikar,PRADAN,
Banka,Dhuraiya,,Kranti,Syngenta Foundation (SFI),
Banka,Dhuraiya,,Trang,Syngenta Foundation (SFI),
Banka,Katoria,,Narishakti,Syngenta Foundation (SFI),
Banka,Katoria,,Narishakti,PRADAN,
Banka,Katoria,,Naree Umang,,
Banka,Katoria,,Naya Sabera,Syngenta Foundation (SFI),
Banka,Phulidumar,,Jeevan Shakti,Syngenta Foundation (SFI),
Banka,Phulidumar,,Jeevan Shakti,PRADAN,
Banka,Phulidumar,,Nari Kalyan,Syngenta Foundation (SFI),
Banka,Phulidumar,,Sanjivani,Syngenta Foundation (SFI),
Banka,Rajaun,,Lakshmibai,Syngenta Foundation (SFI),
Banka,Rajaun,,Lakshmibai,PRADAN,
Banka,Rajaun,,Pragati07012021,Syngenta Foundation (SFI),
Banka,Rajaun,,Pragati07012021,PRADAN,
Banka,Rajaun,,Unnati,Syngenta Foundation (SFI),
Banka,Shambhuganj,,Annpurna,Syngenta Foundation (SFI),
Banka,Shambhuganj,,Dhanlakshmi,Syngenta Foundation (SFI),
Banka,Shambhuganj,,Jagriti,Syngenta Foundation (SFI),
Banka,Shambhuganj,,Sanskar,Syngenta Foundation (SFI),
Banka,Shambhuganj,,Sanskar,PRADAN,
Begusarai,Bachhwara,,Mahan,Syngenta Foundation (SFI),
Begusarai,Bachhwara,,Prayash,Syngenta Foundation (SFI),
Begusarai,Bachhwara,,Samadhan,Syngenta Foundation (SFI),
