district,block,clf_id,clf_name,partner_organization,project_title
Balod,Balod,330000150247,DHARA CLF LATABOD,,
Balod,Balod,330000150223,BOOMI CLF BAGHMARA,,
Balod,Balod,330000150234,VRINDAVAN CLF JAMARUA,,
Balod,Balod,330000150252,SANSKAR CLF KARHIBHADER,,
Balod,Dondi,330000150313,NAYA SABERA MAHILA CULASTAR KUSUMKASA,,
Balod,Dondi,330000150309,SHAKHI MAHILA SANKUL SANSADHAN,,
Balod,Dondi,330000150321,MUSKAN MAHILA CLUSTER AWARI,,
Balod,Dondi,330000150332,NAI DISHA MAHILA CLUSTER BHARRITOLA,,
Balod,Dondilohara,330000150299,VIVEK CLUSTER SANGATHAN SUREGAON,,
Balod,Dondilohara,330000150281,DHAROHAR SANKUL SANGATHAN NAHANDA,,
Balod,Dondilohara,330000150275,JANANI MAHILA SANKUL SANGATHAN DUDHALI,,
Balod,Dondilohara,330000150268,VASUNDHARA MAHILA SANKUL SANGATHAN RENGADABARI,,
Balod,Gunderdehi,330000150366,SAGAR MAHILA SANKUL STARIYA SANGATHANA,,
Balod,Gunderdehi,330000150345,SANSKAR MAHILA CLF,,
Balod,Gunderdehi,330000150378,SANGAM MAHILA CLF,,
Balod,Gunderdehi,330000150350,PRAGATI MAHILA CLF,,
Balod,Gurur,330000150418,AACHAL MAHILA CLASTER SANGHATHAN BHARDA,,
Balod,Gurur,330000150397,SANGAM MAHILA CLUSTER SANGATHAN DHANAPURI,,
Balod,Gurur,330000150384,AASHIRWAD MAHILA CLASTER SANGHATHAN KULIYA,,
Balod,Gurur,330000150402,ARPAN MAHILA SANKUL SANGATHAN SANOUD,,
Baloda Bazar,Balodabazar,330000149879,HAR HAR MAHADEV CLUSTER SANGATHAN,,
Baloda Bazar,Balodabazar,330000149880,CHHATTISGARH MAHATARI CLUSTER SANGATHAN LAHOD,,
Baloda Bazar,Balodabazar,330000149851,AADI SHAKTI MAHILA CLUSTER SANGTHAN ARJUNI,,
Baloda Bazar,Balodabazar,330000149867,BHARATI MAHILA CLUSTER SANGATHAN,,
Baloda Bazar,Bhatapara,330000149776,JANANI MAHILA CLUSTER SANGATHAN TARENGA,,
Baloda Bazar,Bhatapara,330000149805,GARIMA MAHILA CLUSTER SANGATHAN NIPANIYA,,
Baloda Bazar,Bhatapara,330000149795,SHAKTI MAHILA CLUSTER SANGTHAN KARHI BAZAR,,
Baloda Bazar,Bhatapara,330000149782,ASHA MAHILA CLUSTER SANGATHAN AMLIDIH,,
Baloda Bazar,Kasdol,330000149898,SHAKTI CLUSTER SANGATHAN GIRAUDHPURI,,
Baloda Bazar,Kasdol,330000149912,KARUNA MAHILA KLASTER SANGTHAN SONAKHAN,,
Baloda Bazar,Kasdol,330000149920,SANGAM MAHILA CLUSTER SANGHATAN BORSI,,
Baloda Bazar,Kasdol,330000149908,UMANG SANKUL SANGHTAN,,
Baloda Bazar,Palari,330000149949,ASTHA CLASTER SANGHATHAN,,
Baloda Bazar,Palari,330000149954,NISHTA CLF VATGAN,,
Baloda Bazar,Palari,330000149931,NAYI KIRAN CLF,,
Baloda Bazar,Palari,330000149965,PRAYASH CLUSTER SANGATHAN ROHANSI,,
Baloda Bazar,Simga,330000150004,SAKHI MAHILA CLF,,
Baloda Bazar,Simga,330000149977,UDAN MAHILA CLF,PRADAN,
Baloda Bazar,Simga,330000149983,SHUBH CLF,PRADAN,
Baloda Bazar,Simga,330000149996,SAGAR MAHILA CLF,,
Balrampur,Balrampur,330000150494,MOTHER TERESHA CLF MAHARAJGANJ,,
Balrampur,Balrampur,330000150500,DURGAWATI MAHILA CLUSTER SANGATHAN,PRADAN,
Balrampur,Balrampur,330000150516,DHARTI MATA CLF KOCHLI,PRADAN,
Balrampur,Balrampur,330000150528,GAYTRI MAHILA CLUSTER SNGATHAN RANHAT,,
Balrampur,Kusmi,330000150571,HARIYALI CLF,,
Balrampur,Kusmi,330000150559,AADARSH MAHILA CLF KORANDHA,,
Balrampur,Kusmi,330000150563,JIVATIYA CLF CHANDO,,
