district,block,clf_id,clf_name,partner_organization,project_title
Agar,Nalkheda,,Anmol Clf Nalkheda,,
Agar,Agar,,Jyoti Samudayik Sahyog Sanstha,,
Agar,Susner,,Laxmi Samudaik Sahyog Santha,,
Agar,Badod,,Narisakati Mahila Samudayik Sanshatha,,
Agar,Nalkheda,,Maa Lakshmi Clf Pachlana,,
Agar,Susner,,Jagrati Mahila Samudaik Sahayog Sanstha Susner,,
Agar,Nalkheda,,Maa Banglamukhi Samudhayik Sahyog S Nalkheda,,
Agar,Badod,,Prachi Clf,,
Agar,Agar,,Sangam Mahila Samudayik Sahyog Sanstha,,
Agar,Badod,,Ekta Clf Badod,,
Agar,Susner,,Shri Ram Clf Salyakhedi,,
Agar,Agar,,Saheli Samudayik Sahyog Santha,,
Alirajpur,Kathiwada,,Sorwa Sankul Sangtan Sorwa,,
Alirajpur,Sondwa,170000405203,Maa Shakti Aajivika Clf Umarali,TRIF,
Alirajpur,Sondwa,170000405219,Mahila Shakti Ajivika Sankul Sangthan Sankul Sondwa,TRIF,
Alirajpur,Sondwa,170000405226,Nari Shakti Ajivika Sankul Sangathan Chhaktala,TRIF,
Alirajpur,Udaigarh,,Ekta Aajivika Clf,,
Alirajpur,Udaigarh,,Mahadevi Sankul Stariya Sangatan Gram Borjhad,,
Alirajpur,Alirajpur,,Jagriti Sankul Stariya Sanghthan,,
Alirajpur,Bhabra,,Bharat Mata Sankul Stariya Sangathan C S A Nagar,,
Alirajpur,Kathiwada,,Aashirwad Sancool Istharye Sangthan,,
Alirajpur,Alirajpur,,Ambey Maa Sankul Striye Sangthan Alirajpur,,
Alirajpur,Alirajpur,,Nanpur Laxmi Mahila Samajik Samti,,
Alirajpur,Bhabra,,Laxmi Shankul Striya Shanthan,,
Alirajpur,Jobat,,Laxmi Aajivika Sankul Istry Sanghathhan Jobat,,
Alirajpur,Kathiwada,,Navshakti Mahila Ajivika Sankul Chandpur,,
Alirajpur,Sondwa,170000405196,Kajal Mata Sankul Sanghthan Mathwad,TRIF,
Alirajpur,Jobat,,Chaebhuja Shankul Stariya Shangathan,,
Alirajpur,Jobat,,Aajad Ajivika Sangh Jobat,,
Alirajpur,Kathiwada,,Dungari Maa Sankul Stariya Sangathan Kathiwadaadhaykshasachiv,,
Alirajpur,Udaigarh,,Laxmi Ajeevika Clf Bori,,
Alirajpur,Udaigarh,,Aaradhana Aajivika Sankul Stariy Sanghthan Kundalwasa,,
Anuppur,Jaithari,,Jivan Jyoti Sankul Stariy Sangthan,,
Anuppur,Anuppur,,Ekta Sankul Sangathan Sankul Jamuna,,
Anuppur,Jaithari,,Sahara Sankul Sangthan Jaithari,,
Anuppur,Kotma,,Sankalp Aajeevika Sankul Stariya Sanghthan Bijuri,,
Anuppur,Pushprajgarh,,Pavitra Cluster Level Federation Benibari,,
Anuppur,Pushprajgarh,,Jeevan Dayani Sankul Sangthan Rajendragram,IMAGO Global Grassroots,
Anuppur,Pushprajgarh,,Joyti Mahila Sankul Sangathan Lilatola,,
Anuppur,Anuppur,,Sankalp Sankul Stariya Sangthan Aamadand,,
Anuppur,Jaithari,,Ekta Sankul Sanghtan Barbaspur,,
Anuppur,Pushprajgarh,,Naari Shakti Sankul Sangthan Sarai,,
Anuppur,Pushprajgarh,,Sarv Dhan Laxmi Sankul Sangathan Bhejri,,
Anuppur,Pushprajgarh,,Jai Narishakti Shankul Sangthan Karpa,,
Anuppur,Kotma,,Akta Sankul Sangthan Kotma,,
Anuppur,Pushprajgarh,,Nav Chetna Sankul Sangthan Shivrichandas,,
