state,csv_district,geojson_district
Assam,Darrang,Darrang
Assam,Kamrup,Kamrup
Assam,Nagaon,Nagaon
Assam,Morigaon,Morigaon
Assam,Goalpara,Goalpara
Bihar,Araria,Araria
Bihar,Arwal,Arwal
Bihar,Aurangabad,Aurangabad
Bihar,Banka,Banka
Bihar,Begusarai,Begusarai
Bihar,Bhagalpur,Bhagalpur
Bihar,Bhojpur,Bhojpur
Bihar,Buxar,Buxar
Bihar,Darbhanga,Darbhanga
Bihar,Gaya,Gaya
Bihar,Gopalganj,Gopalganj
Bihar,Jamui,Jamui
Bihar,Jehanabad,Jehanabad
Bihar,Kaimur (Bhabua),Kaimur
Bihar,Katihar,Katihar
Bihar,Khagaria,Khagaria
Bihar,Kishanganj,Kishanganj
Bihar,Lakhisarai,Lakhisarai
Bihar,Madhepura,Madhepura
Bihar,Madhubani,Madhubani
Bihar,Munger,Munger
Bihar,Muzaffarpur,Muzaffarpur
Bihar,Nalanda,Nalanda
Bihar,Nawada,Nawada
Bihar,Pashchim Champaran,West Champaran
Bihar,Patna,Patna
Bihar,Purbi Champaran,East Champaran
Bihar,Purnia,Purnia
Bihar,Rohtas,Rohtas
Bihar,Saharsa,Saharsa
Bihar,Samastipur,Samastipur
Bihar,Saran,Saran
Bihar,Sheikhpura,Sheikhpura
Bihar,Sheohar,Sheohar
Bihar,Sitamarhi,Sitamarhi
Bihar,Siwan,Siwan
Bihar,Supaul,Supaul
Bihar,Vaishali,Vaishali
Chhattisgarh,Balod,Durg
Chhattisgarh,Baloda Bazar,Raipur
Chhattisgarh,Balrampur,Surguja
Chhattisgarh,Bastar,Bastar
Chhattisgarh,Bemetara,Durg
Chhattisgarh,Bijapur,Bijapur
Chhattisgarh,Bilaspur,Bilaspur
Chhattisgarh,Dantewada,Dakshin Bastar Dantewada
Chhattisgarh,Dhamtari,Dhamtari
Chhattisgarh,Durg,Durg
Chhattisgarh,Gariyaband,Raipur
Chhattisgarh,Gaurella Pendra Marwahi,Bilaspur
Chhattisgarh,Janjgir-champa,Janjgir-champa
Chhattisgarh,Jashpur,Jashpur
Chhattisgarh,Kanker,Uttar Bastar Kanker
Chhattisgarh,Kawardha,Kabeerdham
Chhattisgarh,Khairgarh Chhuikhadan Gandai,Rajnandgaon
Chhattisgarh,Kondagaon,Bastar
Chhattisgarh,Korba,Korba
Chhattisgarh,Korea,Koriya
Chhattisgarh,Mahasamund,Mahasamund
Chhattisgarh,Manendragarh Chirimiri Bharatpur,Koriya
Chhattisgarh,Mohla Manpur Ambagarh Chouki,Rajnandgaon
Chhattisgarh,Mungeli,Bilaspur
Chhattisgarh,Narayanpur,Narayanpur
Chhattisgarh,Raigarh,Raigarh
Chhattisgarh,Raipur,Raipur
Chhattisgarh,Rajnandagon,Rajnandgaon
Chhattisgarh,Sakti,Janjgir-champa
Chhattisgarh,Sarangarh Bilaigarh,Raigarh
Chhattisgarh,Sukma,Dakshin Bastar Dantewada
Chhattisgarh,Surajpur,Surguja
Chhattisgarh,Surguja,Surguja
Jharkhand,Bokaro,Bokaro
Jharkhand,Chatra,Chatra
Jharkhand,Deoghar,Deoghar
Jharkhand,Dhanbad,Dhanbad
Jharkhand,Dumka,Dumka
Jharkhand,East Singhbum,East Singhbhum
Jharkhand,Garhwa,Garhwa
Jharkhand,Giridih,Giridih
Jharkhand,Godda,Godda
Jharkhand,Gumla,Gumla
Jharkhand,Hazaribagh,Hazaribagh
Jharkhand,Jamtara,Jamtara
Jharkhand,Khunti,Khunti
Jharkhand,Koderma,Koderma
Jharkhand,Latehar,Latehar
Jharkhand,Lohardaga,Lohardaga
Jharkhand,Pakur,Pakur
Jharkhand,Palamu,Palamu
Jharkhand,Ramgarh,Ramgarh
Jharkhand,Ranchi,Ranchi
Jharkhand,Sahebganj,Sahibganj
Jharkhand,Saraikela Kharsawan,Saraikela-kharsawan
Jharkhand,Simdega,Simdega
Jharkhand,West Singhbhum,West Singhbhum
Madhya Pradesh,Agar,Shajapur
Madhya Pradesh,Alirajpur,Alirajpur
Madhya Pradesh,Anuppur,Anuppur
Madhya Pradesh,Ashok Nagar,Ashoknagar
Madhya Pradesh,Balaghat,Balaghat
Madhya Pradesh,Barwani,Barwani
Madhya Pradesh,Betul,Betul
Madhya Pradesh,Bhind,Bhind
Madhya Pradesh,Bhopal,Bhopal
Madhya Pradesh,Burhanpur,Burhanpur
Madhya Pradesh,Chhatarpur,Chhatarpur
Madhya Pradesh,Chhindwara,Chhindwara
Madhya Pradesh,Damoh,Damoh
Madhya Pradesh,Datia,Datia
Madhya Pradesh,Dewas,Dewas
Madhya Pradesh,Dhar,Dhar
Madhya Pradesh,Dindori,Dindori
