district,block,clf_id,clf_name,partner_organization,project_title
Bokaro,Bermo,340000204601,GOVINDPUR AAJEEVIKA MAHILA SANKUL SANGATHAN,IMAGO Global Grassroots,
Bokaro,Bermo,340000204601,GOVINDPUR AAJEEVIKA MAHILA SANKUL SANGATHAN,Nudge,
Bokaro,Bermo,340000204590,BERMO AAJEEVIKA MAHILA SANKUL SANGATHAN,Nudge,
Bokaro,Chandankiyari,340000204629,BATBINOR MAHILA AJIVIKA SANKUL SANGATHAN,Nudge,
Bokaro,Chandankiyari,340000204640,BORIYADIH AJIVIKA MAHILA SANKUL SANGHATAN BORIYADIH SWAWLAMBI SAHKARI SAMITI LIMITED,,
Bokaro,Chandankiyari,340000204655,CHANDRA AJIVIKA MAHILA SANKUL SANGATHAN,PRADAN,
Bokaro,Chandankiyari,340000204655,CHANDRA AJIVIKA MAHILA SANKUL SANGATHAN,Nudge,
Bokaro,Chandankiyari,340000204617,CHK AAJIVIKA MAHILA SANKUL SANGATHAN,,
Bokaro,Chandankiyari,340000204664,LAGHLA AAJEEVIKA MAHILA SANKOOL SANGATHAN L SWAWLABI SAHKARI SAMITI LTD,,
Bokaro,Chandankiyari,340000204638,LANKA AJIVIKA MAHILA SANKUL SANGATHAN,Nudge,
Bokaro,Chandrapura,340000204779,CHANDRAPURA AJIVIKA MAHILA SANKUL SANGATHAN,,
Bokaro,Chandrapura,340000204751,TARMI AJIVIKA MAHILA SANKUL SANGATHAN,,
Bokaro,Chandrapura,340000204767,TELO AJIVIKA MAHILA SANKUL SANGATHAN SWAVLAMBI SAHKARI SAMITI LIMITED CHANDRAPURA,,
Bokaro,Chas,340000204672,ALKUSHA AJEEVIKA MAHILA SANKUL SANGATHAN,,
Bokaro,Chas,340000204686,BANSGORA PURVI AAJIVIKA MAHILA SANKUL SANGATHAN,,
Bokaro,Chas,340000204746,GODABALI DAKSHINI AAJEEVIKA MAHILA SANKUL SANGATHAN,,
Bokaro,Chas,340000204714,KALAPATHAR AAJIVIKA MAHILA SANKUL SANGATHAN KALAPATHAR SWAWLAMBI SAHKARI SAMITI LTD,,
Bokaro,Chas,340000204722,KURA AAJIVIKA MAHILA SANKUL SANGATHAN,Sa-Dhan,
Bokaro,Chas,340000204705,KUSHMA AAJEEVIKA MAHILA SANKUL SANGATHAN,Sa-Dhan,
Bokaro,Chas,340000204693,PINDRAJORA AAJIVIKA MAHILA SANKUL SANGATHAN,Sa-Dhan,
Bokaro,Chas,340000204733,RADHANAGAR AJEEVIKA MAHILA SANKUL SANGATHAN,Sa-Dhan,
Bokaro,Gomia,340000204831,CHATROCHATTI AAJIVIKA MAHILA SANKUL SANGATHAN,Nudge,
