district,block,clf_id,clf_name,partner_organization,project_title
Angul,Angul,240002334329,Angarabandha GPLF,Industree,
Angul,Angul,240002334393,Antulia GPLF,Industree,
Angul,Angul,240002334372,Badakantakul GPLF,Industree,
Angul,Angul,240002334197,Balanga GPLF,Industree,
Angul,Angul,240002334262,Baluakata GPLF,Industree,
Angul,Angul,240002334227,Baragounia GPLF,Industree,
Angul,Angul,240002334150,Basala GPLF,Industree,
Angul,Angul,240002334166,Gadataras GPLF,Industree,
Angul,Angul,240002334291,Jagannathapur GPLF,Industree,
Angul,Angul,240002334364,Khinda,Industree,
Angul,Angul,240002334431,Kothabhuin GPLF,Industree,
Angul,Angul,240002334408,Purunakote,Industree,
Angul,Angul,240002334301,Rantalei GPLF,Industree,
Angul,Angul,240002334454,Tainsi GPLF,Industree,
Angul,Angul,240002334420,Talagada GPLF,Industree,
Angul,Angul,240002334270,Tikarapada GPLF,Industree,
Angul,Athmallik,240002334580,Aida GPLF,Industree,
Angul,Athmallik,240002334533,Ambasarmunda GPLF,Industree,
Angul,Athmallik,240002334483,GPLF Basudevpur,Industree,
Angul,Athmallik,240002334630,Jamudoli GPLF,Industree,
Angul,Athmallik,240002334598,Kantapada,Industree,
Angul,Athmallik,240002334551,Luhasinga GPLF,Industree,
Angul,Athmallik,240002334703,Maimura GPLF,Industree,
Angul,Athmallik,240002334465,Nagaon,Industree,
Angul,Athmallik,240002334648,Sapaghara GPLF,Industree,
Angul,Athmallik,240002334607,Tusar GPLF,Industree,
Angul,Pallahada,240002336168,Allori GPLF,Industree,
Angul,Pallahada,240002336031,Batisuan GPLF,Industree,
Angul,Pallahada,240002335961,Chasagurujang GPLF,Industree,
Angul,Pallahada,240002336054,Injidi GPLF,Industree,
Angul,Pallahada,240002336020,Iswarnagar GPLF,Industree,
Angul,Pallahada,240002336012,Jharbeda GPLF,Industree,
Angul,Pallahada,240002336123,Karadapal GPLF,Industree,
Angul,Pallahada,240002336083,Munduribeda,Industree,
Angul,Pallahada,240002335942,Namapasi GPLF,Industree,
Angul,Pallahada,240002335974,Pabitrapur GPLF,Industree,
Angul,Pallahada,240002336110,Saida GPLF,Industree,
Angul,Pallahada,240002336134,Sankhamur GPLF,Industree,
Bargarh,Ambabhona,,Baddarlipali Anachalika Mancha,Gram Vikas,
Bargarh,Ambabhona,,Baddhara Anachalika Mancha (A),Gram Vikas,
Bargarh,Ambabhona,,Baddhara Anachalika Mancha(B),Gram Vikas,
Bargarh,Ambabhona,,Bandana,Gram Vikas,
Bargarh,Ambabhona,,Barangakote,Gram Vikas,
Bargarh,Ambabhona,240002336887,Bhainatora GPLF,Industree,
Bargarh,Ambabhona,,Bhukta Anachalika Mancha,Gram Vikas,
Bargarh,Ambabhona,,Bileigarh Anachalika Mancha,Gram Vikas,
Bargarh,Ambabhona,,Dungipali Anachalika Mancha ( Ka),Gram Vikas,
Bargarh,Ambabhona,240002336841,Dunguri GPLF,Industree,
Bargarh,Ambabhona,,Durgeswari,Gram Vikas,
Bargarh,Ambabhona,,Indira Gandhi,Gram Vikas,
Bargarh,Ambabhona,,Jai Maa Subhara,Gram Vikas,
Bargarh,Ambabhona,,Khairapali Anachalika Mancha,Gram Vikas,
Bargarh,Ambabhona,,Khudurkuni,Gram Vikas,
Bargarh,Ambabhona,240002336825,Lakhanpur GPLF,Industree,
Bargarh,Ambabhona,,Launsara Anchhalika Mancha,Gram Vikas,
Bargarh,Ambabhona,,Maa Samleswari,Gram Vikas,
Bargarh,Ambabhona,,Mahalaxmi Anchalik Manch,Gram Vikas,
Bargarh,Ambabhona,,Mahapali Anachalika Mancha,Gram Vikas,
Bargarh,Ambabhona,,Mahatma Gandhi,Gram Vikas,
Bargarh,Ambabhona,,Meta Kani,Gram Vikas,
Bargarh,Ambabhona,,Mira Bai,Gram Vikas,
Bargarh,Ambabhona,,Narangpur Anachalika Mancha,Gram Vikas,
Bargarh,Ambabhona,,Radha Rani,Gram Vikas,
Bargarh,Ambabhona,,Ruchida Anachalika Mancha (A),Gram Vikas,
Bargarh,Ambabhona,,Ruchida Anachalika Mancha (C),Gram Vikas,
Bargarh,Ambabhona,,Ruchida Anachalika Mancha (D),Gram Vikas,
Bargarh,Ambabhona,,Sampali Anchalik Manch,Gram Vikas,
Bargarh,Ambabhona,,Saraipali,Gram Vikas,
Bargarh,Ambabhona,,Tulasi,Gram Vikas,
Bargarh,Ambabhona,240002336818,Uttam GPLF,Industree,
Bargarh,Attabira,,Babebira CLF,Gram Vikas,
Bargarh,Attabira,,Babebira CLF-B,Gram Vikas,
Bargarh,Attabira,,Baghbahal CLF,Gram Vikas,
Bargarh,Attabira,,Banjipali CLF,Gram Vikas,
Bargarh,Attabira,,Baragada CLF,Gram Vikas,
Bargarh,Attabira,,Barahakata CLF,Gram Vikas,
Bargarh,Attabira,,Barhamunda CLF,Gram Vikas,
Bargarh,Attabira,,Bhoitikra CLF,Gram Vikas,
Bargarh,Attabira,,Bugbuga CLF,Gram Vikas,
Bargarh,Attabira,,Chabripali CLF,Gram Vikas,
Bargarh,Attabira,,Darlipada CLF,Gram Vikas,
Bargarh,Attabira,,Debahal CLF-A,Gram Vikas,
Bargarh,Attabira,,Debahal CLF-B,Gram Vikas,
Bargarh,Attabira,,Dumerpali CLF,Gram Vikas,
Bargarh,Attabira,,Gambhatikra CLF,Gram Vikas,
Bargarh,Attabira,,Gariatikra CLF,Gram Vikas,
Bargarh,Attabira,,Hirlipali CLF-A,Gram Vikas,
Bargarh,Attabira,,Hirlipali CLF-B,Gram Vikas,
Bargarh,Attabira,,Hirlipali CLF-C,Gram Vikas,
Bargarh,Attabira,,Hirlipali CLF-D,Gram Vikas,
Bargarh,Attabira,,Jamtikra CLF,Gram Vikas,
Bargarh,Attabira,,Janhapada CLF-A,Gram Vikas,
Bargarh,Attabira,,Janhapada CLF-B,Gram Vikas,
Bargarh,Attabira,,Kadlipali CLF,Gram Vikas,
Bargarh,Attabira,,Karnatikra CLF,Gram Vikas,
Bargarh,Attabira,,Katabagha CLF,Gram Vikas,
Bargarh,Attabira,,Kathadera CLF,Gram Vikas,
