district,block,clf_id,clf_name,partner_organization,project_title
Agra,Achhnera,310000828986,AAJAD MAHILA CLF,,
Agra,Achhnera,310000828972,BHARAT MATA MAHILA SANKUL SAMITI,,
Agra,Achhnera,310000828964,JHANSHI KI RANI PRERNA MAHILA SHANKUL SAMITI,,
Agra,Achhnera,310000828993,LAKSHMI BAI MAHILA PRERNA SANKUL SAMITI,,
Agra,Akola,310000829002,AASTHA PRERNA MAHILA SANKUL SAMITI,,
Agra,Akola,310000829018,MAA BHARTI MAHILA PRERNA SANKUL SAMITI,,
Agra,Akola,310000829039,SIDDHI MAHILA PRERNA SANKUL SAMITI,,
Agra,Akola,310000829025,VASUDHA MAHILA PRERNA SANKUL SAMITI,,
Agra,Bah,310000829041,BHARAT PREANA SANKUL STARIYA SANGTHAN,,
Agra,Bah,310000829060,EKTA PRERNA SANKUL STARIYA SANGATHAN BHADROLI,,
Agra,Bah,310000829073,HINDUSTAN PRERNA SANKUL STARIYA SANGATHAN,,
Agra,Bah,310000829056,VISHWASH PRERNA,,
Agra,Barauli Ahir,310000829094,BHARAT MATA,,
Agra,Barauli Ahir,310000829115,GANGOTRI,PCI,
Agra,Barauli Ahir,310000829087,NAI UDAN CLF,,
Agra,Barauli Ahir,310000829104,PRAGATI PRERNA CLUSTER,,
Agra,Bichpuri,310000829143,DIGITAL INDIA PRERNA SANKUL STARIYA SAMITI,,
Agra,Bichpuri,310000829127,MERA BHARAT PRERNA SANKUL STARIYA SAMITI,,
Agra,Bichpuri,310000829158,PRITHVI PRERNA SNAKUL STARIYA SAMITI,,
Agra,Bichpuri,310000829136,SAMRIDHI PRERNA SANKUL STARIYA SAMITI,,
Agra,Etmadpur,310000829162,JHANSI KI RANI SANKUL STARIY SANGTHAN,,
Agra,Etmadpur,310000829170,SAUBHAGYA MAHILA SANKUL STARIY SANGTHAN,,
Agra,Etmadpur,310000829189,TIRANGA PRERNA SANKUL STARIY SANGTHAN,,
Agra,Etmadpur,310000829191,VANDANA PRERNA MAHILA SANKUL STARIYA SAMITI,,
Agra,Fatehabad,310000829213,BHARAT MATA PRERANA MAHILA SANKUL SAMITI,,
Agra,Fatehabad,310000829232,JYOTI PRERANA MAHILA SANKUL SAMITI,,
Agra,Fatehabad,310000829209,NAMO PRERNA MAHILA SANKUL SAMITI,,
Agra,Fatehabad,310000829221,TIRANGA MAHILA PRERANA SANKUL,,
Agra,Fatehpur Sikri,310000829284,DISHA MAHILA PRERNA CLUSTER LEVEL FEDERATION PATSAL,,
Agra,Fatehpur Sikri,310000829266,EKTA MAHIALA PRERNA CLUSTER LEVEL FEDERATION MANDI MIRJA KHA,,
Agra,Fatehpur Sikri,310000829250,KISHAN MAHILA PRERNA CLUSTER LEVEL FEDERATION TAJPUR NAGRIYA,PCI,
Agra,Fatehpur Sikri,310000829278,NARI SHAKTI MAHILA PRERNA CLUSTER LEVEL FEDERATION DURA,,
Agra,Jagner,310000829348,JAGRITI SANKUL STARIYA SANGATHAN,,
Agra,Jagner,310000829330,NAV CHETNA SSS,,
Agra,Jagner,310000829353,NAV UMMEED SANKUL STARIYA SANGATHAN,,
Agra,Jagner,310000829369,SANGAM PRARERNA SANKUL STHRIYA SAMITI,,
Agra,Jaitpur Kalan,310000829297,EKTA PRERNA,,
Agra,Jaitpur Kalan,310000829324,SANJEEVANI PRERNA,,
Agra,Jaitpur Kalan,310000829311,UJALA PRERNA SANKUL STARIYA SANGATHAN,,
Agra,Jaitpur Kalan,310000829307,VIKASH PRERNA SANKUL STARIYA SANGH,,
Agra,Khandauli,310000829416,JAAGRATI PRERNA MAHILA CLUSTER,,
Agra,Khandauli,310000829437,SAVITRIBAI PHULE PRERNA SANKUL SANGTHAN,,
Agra,Khandauli,310000829428,UJALA PRERNA CLUSTER,,
Agra,Khandauli,310000829444,VANDE MATARAM PRERNA SANKUL SANGTHAN,,
Agra,Kheragarh,310000829382,JYOTIPRERNA SANKUL STARYEEY SANGH,,
Agra,Kheragarh,310000829400,UDAN PRERNA SANKUL STAREEY SANG,,
Agra,Kheragarh,310000829395,UNNATI PRERANA SANKUL STARIYA SAMITI,,
Agra,Kheragarh,310000829376,VIKAS PRERNA SANKUL SATRYY SANG,,
Agra,Pinahat,310000829485,HINDUSTAN PRERNA SANKUL STARIYA SANGTHAN,,
Agra,Pinahat,310000829463,SAKSHAM PRERNA SANKUL STHRIYA SANGTHAN,,
Agra,Pinahat,310000829459,UJJAWAL PRERNA SANKUL STHRIYA SANGTHAN,,
Agra,Pinahat,310000829471,UNNATI PRERNA SANKUL SATHRIYA SANGTHAN,,
Agra,Saiyan,310000829557,BHARAT MATA PRERNA SANKUL SAMITI,,
Agra,Saiyan,310000829535,JIVAN SURAKSHA PRERNA SANKUL SAMITI,,
Agra,Saiyan,310000829542,NARI SHAKTI PRERNA SANKUL SAMITI,,
Agra,Saiyan,310000829561,VIKASH SANKUL STARIYA SAMITI PUSETA,,
Agra,Shamsabad,310000829492,AASHA PRERNA,,
Agra,Shamsabad,310000829519,NAV JYOTI,,
Agra,Shamsabad,310000829503,SAMRIDDHI PRERNA CLF,,
Agra,Shamsabad,310000829526,UJALA PRERNA,,
Aligarh,Akrabad,310000829588,DEEP PRERNA MAHILA CLF,,
Aligarh,Akrabad,310000829590,HANS PRERNA SANKUL STTARIYE SANGH,,
Aligarh,Akrabad,310000829601,UDAN PRERNA MAHILA SANKUL STARIY SAMITI,,
Aligarh,Akrabad,310000829574,UMMID PRERNA MAHILA SANKUL SAMITI VIJAYGARH,,
Aligarh,Atrauli,310000829617,EKATA KALIYANPUR RANI,,
Aligarh,Atrauli,310000829638,UMANG CLF ATRAULI,,
Aligarh,Atrauli,310000829629,UNNATI CLF VIDHIPUR,,
Aligarh,Atrauli,310000829640,VIKASH CLF JIRAULI DHOOM SINGH,,
Aligarh,Bijauli,310000829655,BADLAAV CLF BIJAULI,,
Aligarh,Bijauli,310000829686,GANGA CLF SANKARA,,
Aligarh,Bijauli,310000829672,JAGRAN CLF DADON,,
Aligarh,Bijauli,310000829664,UDAY CLF HARDOI,,
Aligarh,Dhanipur,310000829746,ANNDATA PRERNA MAHILA SANKUL SAMITI,,
Aligarh,Dhanipur,310000829733,BHARATI CLF HARDUA DEHAT,IMAGO,
Aligarh,Dhanipur,310000829767,DEEPAK CLF PANETHI,,
Aligarh,Dhanipur,310000829751,JYOTI AAJEEVIKA CLF DHANIPUR,PCI,
Aligarh,Gangiri,310000829779,AZAD PRERANA MAHILA SANKUL SANGH BARLA,,
Aligarh,Gangiri,310000829808,GANGA PRERNA MAHILA SANKUL SAMITI SANKUL JIRAULI,,
